distortion_type,severity_level,class_id,class_name,is_foreground,total_intersection_pixels,total_union_pixels,mean_per_image_iou,std_per_image_iou,num_images,dataset_iou
jpeg_compression,medium,12,dog,True,232475,293202,0.42562532270368164,0.4893770835961648,11,0.7928834046152482
jpeg_compression,medium,13,horse,True,266476,298368,0.630706836291166,0.48848911827988917,6,0.8931118618618619
jpeg_compression,medium,14,motorbike,True,309253,349151,0.757908707674669,0.3411316274717261,7,0.8857285243347435
jpeg_compression,medium,15,person,True,799428,983775,0.7269607195360925,0.3225955684748572,36,0.8126126400853854
jpeg_compression,medium,16,pottedplant,True,55459,126398,0.27976394153913975,0.3317891483181196,15,0.43876485387427017
jpeg_compression,medium,17,sheep,True,134071,156766,0.7127290887593616,0.47533182896777637,4,0.8552300881568707
jpeg_compression,medium,18,sofa,True,159355,441334,0.3348316864205169,0.3846593943706416,11,0.36107573855628616
jpeg_compression,medium,19,train,True,89875,109229,0.6197105668236289,0.43566663173695497,4,0.8228126230213588
jpeg_compression,medium,20,tvmonitor,True,92283,110964,0.5017635378778307,0.47060035336767797,7,0.8316481020871634
jpeg_compression,severe,0,background,False,11934503,15407206,0.7615425198202621,0.21261198662890335,100,0.7746052723641133
jpeg_compression,severe,1,aeroplane,True,35802,92452,0.5467295920097011,0.34980420724269917,5,0.38724959979232465
jpeg_compression,severe,2,bicycle,True,18978,59200,0.1513509586558555,0.21024825932695554,5,0.3205743243243243
jpeg_compression,severe,3,bird,True,0,50347,0.0,0.0,7,0.0
jpeg_compression,severe,4,boat,True,50317,131676,0.23088293031587895,0.34046518693354183,5,0.3821273428718977
jpeg_compression,severe,5,bottle,True,242,88594,0.006040938592111833,0.01910312515628427,10,0.0027315619567916563
jpeg_compression,severe,6,bus,True,188384,575058,0.4070073648437507,0.4113479768718547,8,0.3275913038337003
jpeg_compression,severe,7,car,True,40951,286480,0.11397529707958141,0.22447879147480962,12,0.1429454063110863
jpeg_compression,severe,8,cat,True,97141,747116,0.06547524428365097,0.15470011090789154,34,0.13002130860535713
jpeg_compression,severe,9,chair,True,3505,376001,0.06265390531743123,0.19180932441244594,17,0.009321783718660322
jpeg_compression,severe,10,cow,True,0,100574,0.0,0.0,4,0.0
jpeg_compression,severe,11,diningtable,True,104978,264499,0.2406939862620419,0.36923069716533735,9,0.39689375007088873
jpeg_compression,severe,12,dog,True,7094,873026,0.015475102977814292,0.058405884132433944,24,0.00812576028663522
jpeg_compression,severe,13,horse,True,0,288895,0.0,0.0,6,0.0
jpeg_compression,severe,14,motorbike,True,1232,318446,0.006460705548008901,0.013576426515287343,7,0.003868787800757428
jpeg_compression,severe,15,person,True,300854,954288,0.21080431113706957,0.3278462530855707,42,0.31526541253793405
jpeg_compression,severe,16,pottedplant,True,0,104524,0.0,0.0,11,0.0
jpeg_compression,severe,17,sheep,True,0,153410,0.0,0.0,4,0.0
jpeg_compression,severe,18,sofa,True,0,373399,0.0,0.0,9,0.0
jpeg_compression,severe,19,train,True,37950,101818,0.14359840244546987,0.3500221816601333,6,0.3727238798640712
jpeg_compression,severe,20,tvmonitor,True,76669,113727,0.29950735349918245,0.41496726588307226,8,0.674149498360108
low_light,mild,0,background,False,12124919,13070753,0.9237867845347365,0.15737721554792514,100,0.9276373748321921
low_light,mild,1,aeroplane,True,82190,100499,0.8987626587905796,0.18313946710564916,5,0.817819082776943
low_light,mild,2,bicycle,True,28137,77314,0.2728259138915552,0.16976424484893837,5,0.3639315001164084
low_light,mild,3,bird,True,44101,52379,0.5228903133619291,0.41939659142531266,9,0.8419595639473835
low_light,mild,4,boat,True,87538,135019,0.65880553488759,0.2341705302565907,5,0.6483383820054955
low_light,mild,5,bottle,True,80799,88694,0.5029182387149052,0.4793427410385943,9,0.9109860869957381
low_light,mild,6,bus,True,562305,580098,0.9746127317287453,0.02109290263684649,8,0.9693275963716476
low_light,mild,7,car,True,202060,288495,0.7407418383338299,0.37955722076165876,12,0.7003934210298272
low_light,mild,8,cat,True,253829,274697,0.7380045426641498,0.39948254236044567,10,0.9240326614415155
low_light,mild,9,chair,True,118202,399512,0.3279697172049219,0.3844368647510512,23,0.2958659564668896
low_light,mild,10,cow,True,93670,109057,0.4918167086087287,0.5669677528534514,4,0.8589086441035422
low_light,mild,11,diningtable,True,158172,222924,0.5598527975816864,0.36987998235991615,8,0.7095332938579965
low_light,mild,12,dog,True,256055,284301,0.6012666843474197,0.4627024243041099,9,0.9006475531215156
low_light,mild,13,horse,True,275234,306241,0.8200636754119197,0.31269807717958026,5,0.8987496775415441
low_light,mild,14,motorbike,True,311188,337481,0.88656181810018,0.08944357967549703,7,0.9220904287945099
low_light,mild,15,person,True,836466,964865,0.7091048837755203,0.3791648744842405,39,0.8669254248003607
low_light,mild,16,pottedplant,True,87179,122414,0.4057858339012447,0.33690590539058507,15,0.7121652752136194
low_light,mild,17,sheep,True,135491,155849,0.7245242188541617,0.48313344268868685,4,0.8693735603051672
low_light,mild,18,sofa,True,163072,496843,0.37138485775067864,0.39457748204949,11,0.32821635808494837
