dataset_index,image_id,distortion_type,severity_level,parameter_value,snr_db,mean_iou_all_classes,mean_iou_foreground,num_evaluated_classes,num_evaluated_foreground_classes
187,2007_006281,gaussian_noise,medium,25.0,16.994758989187314,0.8722271006404304,0.7994826642789633,2,1
187,2007_006281,gaussian_noise,severe,50.0,11.689509000985122,0.8554966532372859,0.7703474783150678,2,1
187,2007_006281,jpeg_compression,mild,50.0,29.083209667444066,0.8724147100866486,0.802175309993574,2,1
187,2007_006281,jpeg_compression,medium,20.0,25.99844264069693,0.8219725653505825,0.7212888544591847,2,1
187,2007_006281,jpeg_compression,severe,5.0,21.04056657627176,0.8458283677463829,0.755902901728798,2,1
187,2007_006281,low_light,mild,0.6,7.911667496033296,0.9049721575055052,0.8522749368073109,2,1
187,2007_006281,low_light,medium,0.35,3.707353490212855,0.9311081833563475,0.892593327053691,2,1
187,2007_006281,low_light,severe,0.15,1.3852156067250885,0.7534207294591981,0.603340457531861,2,1
189,2007_006317,gaussian_noise,mild,10.0,22.028942098502753,0.5811670167455041,0.535955987699728,5,4
189,2007_006317,gaussian_noise,medium,25.0,14.137195784408313,0.5081664144563349,0.47557183024180927,5,4
189,2007_006317,gaussian_noise,severe,50.0,8.4402255667343,0.4947440760841831,0.4657681690182101,5,4
189,2007_006317,jpeg_compression,mild,50.0,26.047757274225994,0.5931927694960819,0.5430516674822418,5,4
189,2007_006317,jpeg_compression,medium,20.0,23.195065793162904,0.725885147039106,0.7125380675461467,4,3
189,2007_006317,jpeg_compression,severe,5.0,18.220844576077937,0.05708257090576395,0.0,5,4
189,2007_006317,low_light,mild,0.6,7.894751108336978,0.7438415640589416,0.7337904754894757,4,3
189,2007_006317,low_light,medium,0.35,3.6948484521670184,0.7295565537808233,0.7228531216180359,4,3
189,2007_006317,low_light,severe,0.15,1.3757078464251817,0.6738879067188672,0.6713956589696121,4,3
195,2007_006490,gaussian_noise,mild,10.0,24.036557176427497,0.9610426798130133,0.9490240539818977,4,3
195,2007_006490,gaussian_noise,medium,25.0,16.15304485535889,0.7304830994773053,0.6418016726918774,4,3
195,2007_006490,gaussian_noise,severe,50.0,10.612524970848508,0.4752423388944987,0.3180379746835443,4,3
195,2007_006490,jpeg_compression,mild,50.0,31.243731349193276,0.8899803875223363,0.8567109058288217,4,3
