dataset_index,image_id,distortion_type,severity_level,parameter_value,num_ground_truth_objects,num_predictions,true_positives,false_positives,false_negatives,precision,recall,f1_score,mean_matched_iou
220,2007_007355,gaussian_noise,medium,25.0,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7120864785650751
220,2007_007355,gaussian_noise,severe,50.0,3,2,0,2,3,0.0,0.0,0.0,0.0
220,2007_007355,jpeg_compression,mild,50.0,3,6,2,4,1,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7091088416317225
220,2007_007355,jpeg_compression,medium,20.0,3,3,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7828286234486717
220,2007_007355,jpeg_compression,severe,5.0,3,0,0,0,3,0.0,0.0,0.0,0.0
220,2007_007355,low_light,mild,0.6,3,6,3,3,0,0.5,1.0,0.6666666666666666,0.714486124773316
220,2007_007355,low_light,medium,0.35,3,6,3,3,0,0.5,1.0,0.6666666666666666,0.6955336211349136
220,2007_007355,low_light,severe,0.15,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.6910227719712663
251,2007_008142,gaussian_noise,mild,10.0,2,2,2,0,0,1.0,1.0,1.0,0.908609509593018
251,2007_008142,gaussian_noise,medium,25.0,2,2,2,0,0,1.0,1.0,1.0,0.8992611331958634
251,2007_008142,gaussian_noise,severe,50.0,2,2,1,1,1,0.5,0.5,0.5,0.6311312716138686
251,2007_008142,jpeg_compression,mild,50.0,2,2,2,0,0,1.0,1.0,1.0,0.9283402244521403
251,2007_008142,jpeg_compression,medium,20.0,2,2,2,0,0,1.0,1.0,1.0,0.9365331273918351
251,2007_008142,jpeg_compression,severe,5.0,2,2,1,1,1,0.5,0.5,0.5,0.5041259686375552
251,2007_008142,low_light,mild,0.6,2,2,2,0,0,1.0,1.0,1.0,0.955444340235164
251,2007_008142,low_light,medium,0.35,2,2,2,0,0,1.0,1.0,1.0,0.9454183745297497
251,2007_008142,low_light,severe,0.15,2,2,2,0,0,1.0,1.0,1.0,0.9365985025566095
284,2007_009436,gaussian_noise,mild,10.0,3,5,3,2,0,0.6,1.0,0.7499999999999999,0.8819541826268583
284,2007_009436,gaussian_noise,medium,25.0,3,3,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8139058714907379
