dataset_index,distortion_type,severity_level,parameter_value,class_id,iou
196,gaussian_noise,severe,50.0,15,0.0
196,gaussian_noise,severe,50.0,18,0.07778397152780755
196,jpeg_compression,mild,50.0,0,0.95734827973321
196,jpeg_compression,mild,50.0,9,0.025076325695823576
196,jpeg_compression,mild,50.0,16,0.0
196,jpeg_compression,mild,50.0,18,0.43708310629262886
196,jpeg_compression,medium,20.0,0,0.8951234629305134
196,jpeg_compression,medium,20.0,9,0.04146782464356641
196,jpeg_compression,medium,20.0,18,0.5115309296164037
196,jpeg_compression,severe,5.0,0,0.6725256305752959
196,jpeg_compression,severe,5.0,9,0.0
196,jpeg_compression,severe,5.0,18,0.0
196,low_light,mild,0.6,0,0.9687011349306431
196,low_light,mild,0.6,9,0.2073441054657878
196,low_light,mild,0.6,18,0.46763111764824405
196,low_light,medium,0.35,0,0.973975008613373
196,low_light,medium,0.35,9,0.2
196,low_light,medium,0.35,18,0.4643281209120731
196,low_light,severe,0.15,0,0.9724524318168594
196,low_light,severe,0.15,9,0.24707207874996293
196,low_light,severe,0.15,18,0.49414793501070897
202,gaussian_noise,mild,10.0,0,0.8723534782856817
202,gaussian_noise,mild,10.0,4,0.6614940383822114
202,gaussian_noise,mild,10.0,7,0.9647297369403981
202,gaussian_noise,medium,25.0,0,0.7899268187688334
202,gaussian_noise,medium,25.0,4,0.35596652267818574
202,gaussian_noise,medium,25.0,7,0.8862955446023002
202,gaussian_noise,medium,25.0,15,0.0
202,gaussian_noise,severe,50.0,0,0.7290135127788483
202,gaussian_noise,severe,50.0,4,0.15063099245959088
202,gaussian_noise,severe,50.0,6,0.0
202,gaussian_noise,severe,50.0,7,0.9201112877583466
202,jpeg_compression,mild,50.0,0,0.863855863997063
202,jpeg_compression,mild,50.0,4,0.6375506351516105
202,jpeg_compression,mild,50.0,7,0.9545017622556873
202,jpeg_compression,medium,20.0,0,0.7678851830915143
202,jpeg_compression,medium,20.0,4,0.2392278660166693
202,jpeg_compression,medium,20.0,7,0.845292215400478
202,jpeg_compression,severe,5.0,0,0.7136769719054896
202,jpeg_compression,severe,5.0,4,0.3985117498505967
202,jpeg_compression,severe,5.0,7,0.06050852912777599
202,low_light,mild,0.6,0,0.8200256119719207
202,low_light,mild,0.6,4,0.4856233171517855
202,low_light,mild,0.6,7,0.9642190582840079
202,low_light,medium,0.35,0,0.7502974328782916
202,low_light,medium,0.35,4,0.21159899276046584
202,low_light,medium,0.35,7,0.9658370196663647
202,low_light,severe,0.15,0,0.7045085693896108
202,low_light,severe,0.15,4,0.0
202,low_light,severe,0.15,7,0.9705866652431538
204,gaussian_noise,mild,10.0,0,0.970427876026856
204,gaussian_noise,mild,10.0,4,0.43311207556803677
204,gaussian_noise,mild,10.0,15,0.0
204,gaussian_noise,medium,25.0,0,0.9619389445452394
204,gaussian_noise,medium,25.0,4,0.237434554973822
204,gaussian_noise,medium,25.0,15,0.0
204,gaussian_noise,severe,50.0,0,0.9583241326457713
204,gaussian_noise,severe,50.0,4,0.0
204,jpeg_compression,mild,50.0,0,0.9707492996732918
204,jpeg_compression,mild,50.0,4,0.4571038928837094
204,jpeg_compression,mild,50.0,15,0.0
204,jpeg_compression,medium,20.0,0,0.9597754241698762
204,jpeg_compression,medium,20.0,4,0.04065166795965865
204,jpeg_compression,severe,5.0,0,0.9583241326457713
204,jpeg_compression,severe,5.0,4,0.0
204,low_light,mild,0.6,0,0.9662803089978751
204,low_light,mild,0.6,4,0.3646290950169449
204,low_light,mild,0.6,15,0.0
204,low_light,medium,0.35,0,0.962613890377652
204,low_light,medium,0.35,4,0.1446578631452581
204,low_light,medium,0.35,15,0.0
204,low_light,severe,0.15,0,0.9583241326457713
204,low_light,severe,0.15,4,0.0
210,gaussian_noise,mild,10.0,0,0.9939334259438358
210,gaussian_noise,mild,10.0,10,0.0
210,gaussian_noise,mild,10.0,12,0.0
210,gaussian_noise,mild,10.0,17,0.0
210,gaussian_noise,medium,25.0,0,0.9922331289958796
210,gaussian_noise,medium,25.0,10,0.0
210,gaussian_noise,medium,25.0,12,0.0
210,gaussian_noise,medium,25.0,17,0.0
210,gaussian_noise,severe,50.0,0,0.9923854080719063
210,gaussian_noise,severe,50.0,10,0.0
210,gaussian_noise,severe,50.0,12,0.0
210,gaussian_noise,severe,50.0,17,0.0
210,jpeg_compression,mild,50.0,0,0.9951889852852496
210,jpeg_compression,mild,50.0,10,0.0
210,jpeg_compression,mild,50.0,12,0.0
210,jpeg_compression,mild,50.0,17,0.0
210,jpeg_compression,medium,20.0,0,0.9946682855370647
210,jpeg_compression,medium,20.0,10,0.0
210,jpeg_compression,medium,20.0,12,0.0
210,jpeg_compression,medium,20.0,17,0.0
210,jpeg_compression,severe,5.0,0,0.98550206303375
210,jpeg_compression,severe,5.0,10,0.0
210,jpeg_compression,severe,5.0,12,0.0
210,jpeg_compression,severe,5.0,17,0.0
210,low_light,mild,0.6,0,0.9953679038003443
210,low_light,mild,0.6,10,0.0
210,low_light,mild,0.6,12,0.0
210,low_light,mild,0.6,17,0.0
210,low_light,medium,0.35,0,0.9959337057465593
210,low_light,medium,0.35,10,0.0
210,low_light,medium,0.35,12,0.0
210,low_light,medium,0.35,17,0.0
210,low_light,severe,0.15,0,0.9942725425160343
210,low_light,severe,0.15,10,0.0
210,low_light,severe,0.15,12,0.0
210,low_light,severe,0.15,17,0.0
211,gaussian_noise,mild,10.0,0,0.977837030313345
211,gaussian_noise,mild,10.0,7,0.9686358466581922
211,gaussian_noise,medium,25.0,0,0.9686372961377411
211,gaussian_noise,medium,25.0,7,0.9552107023411371
211,gaussian_noise,severe,50.0,0,0.9350576590877259
211,gaussian_noise,severe,50.0,7,0.9108481919680054
211,jpeg_compression,mild,50.0,0,0.9765805969725907
211,jpeg_compression,mild,50.0,7,0.9669128942201087
211,jpeg_compression,medium,20.0,0,0.9400957456417668
211,jpeg_compression,medium,20.0,7,0.9104691191360108
211,jpeg_compression,severe,5.0,0,0.6097492629673954
211,jpeg_compression,severe,5.0,7,0.09304534230591811
211,low_light,mild,0.6,0,0.9810430581213585
211,low_light,mild,0.6,7,0.9731765841365165
211,low_light,medium,0.35,0,0.9801378422388003
211,low_light,medium,0.35,7,0.9718853436608016
